,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,country,salary
116,56,0,303090,1,10,6,5,5,0,0,0,0,50,18,0
117,49,6,197371,12,11,6,7,5,4,0,0,0,40,18,1
118,55,3,247552,1,10,6,5,5,0,0,0,0,56,18,0
119,22,3,102632,6,9,0,7,4,0,0,0,0,41,18,0
120,21,3,199915,1,10,0,3,3,0,1,0,0,40,18,0
121,40,3,118853,0,13,6,6,5,0,0,0,0,60,18,0
122,30,3,77143,0,13,0,6,3,4,0,0,0,40,40,0
123,29,4,267989,0,13,6,2,5,0,0,0,0,50,18,1
124,19,3,301606,1,10,0,3,3,4,0,0,0,35,18,0
125,47,3,287828,0,13,6,6,2,0,1,0,0,40,18,1
126,20,3,111697,1,10,0,4,3,0,1,0,1719,28,18,0
127,31,3,114937,10,12,6,4,5,0,0,0,0,40,18,1
128,35,8,129305,6,9,6,14,5,0,0,0,0,40,18,0
129,39,3,365739,1,10,4,7,4,0,0,0,0,40,18,0
130,28,3,69621,10,12,0,5,4,0,1,0,0,60,18,0
131,24,3,43323,6,9,0,3,4,0,1,0,1762,40,18,0
132,38,7,120985,6,9,6,7,5,0,0,4386,0,35,18,0
133,37,3,254202,0,13,6,5,5,0,0,0,0,50,18,0
134,46,3,146195,10,12,4,9,4,4,1,0,0,36,18,0
135,38,5,125933,14,14,6,2,5,0,0,0,0,40,38,1
136,43,7,56920,6,9,6,7,5,0,0,0,0,60,18,0
137,27,3,163127,12,11,6,4,2,0,1,0,0,35,18,0
138,20,3,34310,1,10,0,5,3,0,0,0,0,20,18,0
139,49,3,81973,1,10,6,7,5,3,0,0,0,40,18,1
140,61,0,66614,6,9,6,7,5,0,0,0,0,40,18,0
141,27,3,232782,1,10,0,5,3,0,1,0,0,40,18,0
142,19,3,316868,1,10,0,3,3,0,0,0,0,30,37,0
143,45,3,196584,12,11,0,2,4,0,1,0,1564,40,18,1
144,70,3,105376,1,10,0,9,0,0,0,0,0,40,18,0
145,31,3,185814,6,9,0,8,1,4,1,0,0,30,18,0
146,22,3,175374,1,10,6,3,5,0,0,0,0,24,18,0
147,36,3,108293,6,9,1,3,1,0,1,0,0,24,18,0
148,64,3,181232,9,7,6,7,5,0,0,0,2179,40,18,0
149,43,8,174662,1,10,4,14,4,0,1,0,0,40,18,0
150,47,6,186009,1,10,4,4,1,0,1,0,0,38,37,0
151,34,3,198183,6,9,0,4,4,0,1,0,0,40,18,0
152,33,3,163003,0,13,0,6,0,3,1,0,0,40,0,0
153,21,3,296158,6,9,0,7,3,0,0,0,0,35,18,0
154,52,8,252903,6,9,4,14,4,0,0,0,0,45,18,1
155,48,3,187715,6,9,6,7,5,0,0,0,0,46,18,0
156,23,3,214542,0,13,0,1,4,0,0,0,0,40,18,0
157,71,7,494223,1,10,2,5,1,4,0,0,1816,2,18,0
158,29,3,191535,6,9,4,7,4,0,0,0,0,60,18,0
159,42,3,228456,0,13,2,3,0,4,0,0,0,50,18,0
160,68,8,38317,15,2,4,14,4,0,1,0,0,20,18,0
161,25,3,252752,6,9,0,3,1,0,1,0,0,40,18,0
162,44,0,78374,14,14,4,6,1,3,1,0,0,40,18,0
163,28,3,88419,6,9,0,6,4,3,1,0,0,40,35,0
164,45,7,201080,14,14,6,5,5,0,0,0,0,40,18,1
165,36,3,207157,1,10,4,3,1,0,1,0,0,40,37,0
166,39,5,235485,10,12,0,6,4,0,0,0,0,42,18,0
167,46,4,102628,14,14,1,11,1,0,0,0,0,40,18,0
168,18,3,25828,9,7,0,1,3,0,0,0,0,16,18,0
169,66,6,54826,12,11,1,2,4,0,1,0,0,20,18,0
170,27,3,124953,6,9,0,3,4,0,0,0,1980,40,18,0
171,28,4,175325,6,9,6,11,5,0,0,0,0,40,18,0
172,51,3,96062,1,10,6,5,5,0,0,0,1977,40,18,1
173,27,3,428030,0,13,0,7,4,0,0,0,0,50,18,0
174,28,4,149624,0,13,6,2,5,0,0,0,0,40,18,1
175,27,3,253814,6,9,5,5,1,0,1,0,0,25,18,0
176,21,3,312956,6,9,0,7,3,4,0,0,0,40,18,0
177,34,3,483777,6,9,0,1,4,4,0,0,0,40,18,0
178,18,3,183930,6,9,0,3,3,0,0,0,0,12,18,0
179,33,3,37274,0,13,6,2,5,0,0,0,0,65,18,0
180,44,6,181344,1,10,6,6,5,4,0,0,0,38,18,1
181,43,3,114580,1,10,4,4,4,0,1,0,0,40,18,0
182,30,3,633742,1,10,0,7,4,4,0,0,0,45,18,0
183,40,3,286370,3,4,6,13,5,0,0,0,0,40,37,1
184,37,5,29054,1,10,6,4,5,0,0,0,0,42,18,1
185,34,3,304030,6,9,6,4,5,4,0,0,0,40,18,0
186,41,7,143129,0,13,4,6,4,0,1,0,0,40,18,0
187,53,8,135105,0,13,4,14,4,0,1,0,0,50,18,0
188,31,3,99928,14,14,6,2,2,0,1,0,0,50,18,0
189,58,4,109567,7,16,6,2,5,0,0,0,0,1,18,1
190,38,3,155222,1,10,4,13,4,4,1,0,0,28,18,0
191,24,3,159567,1,10,6,13,5,0,0,0,0,40,18,0
192,41,6,523910,0,13,6,7,5,4,0,0,0,40,18,0
193,47,3,120939,1,10,6,9,5,0,0,0,0,45,18,0
194,41,5,130760,0,13,6,9,5,0,0,0,0,24,18,0
195,23,3,197387,13,3,6,8,0,0,0,0,0,40,37,0
196,36,3,99374,1,10,4,7,4,0,0,0,0,40,18,0
197,40,5,56795,14,14,0,6,4,0,1,14084,0,55,18,1
198,35,3,138992,14,14,6,2,0,0,0,7298,0,40,18,1
199,24,7,32921,6,9,0,5,4,0,0,0,0,40,18,0
200,26,3,397317,14,14,0,2,4,0,1,0,1876,40,18,0
201,19,8,170653,6,9,0,14,3,0,0,0,0,40,31,0
202,51,3,259323,0,13,6,6,5,0,0,0,0,50,18,1
203,42,6,254817,1,10,0,2,4,0,1,0,1340,40,18,0
204,37,4,48211,6,9,4,4,1,0,1,0,0,35,18,0
205,18,3,140164,9,7,0,5,3,0,1,0,0,40,18,0
206,36,3,128757,0,13,6,3,5,4,0,7298,0,36,18,1
207,35,3,36270,6,9,4,7,4,0,0,0,0,60,18,0
208,58,0,210563,6,9,6,5,2,0,1,15024,0,35,18,1
209,17,3,65368,9,7,0,5,3,0,1,0,0,12,18,0
210,44,6,160943,6,9,6,8,5,4,0,0,0,40,18,0
211,37,3,208358,6,9,6,7,5,0,0,0,0,40,18,1
212,35,3,153790,1,10,0,5,4,1,1,0,0,40,18,0
213,60,3,85815,6,9,6,7,5,3,0,0,0,40,18,0
214,54,0,125417,3,4,6,13,5,0,0,0,0,40,18,1
215,37,3,635913,0,13,0,6,4,4,0,0,0,60,18,1
216,50,3,313321,10,12,4,5,4,0,1,0,0,40,18,0
217,38,3,182609,0,13,6,5,5,0,0,0,0,50,15,0
218,45,3,109434,0,13,6,2,5,0,0,0,0,55,18,0
219,25,3,255004,8,6,0,7,4,0,0,0,0,40,18,0
220,31,3,197860,1,10,6,1,5,0,0,0,0,40,18,0
221,64,8,187656,15,2,4,14,4,0,0,0,0,40,18,0
222,90,3,51744,6,9,0,3,4,4,0,0,2206,40,18,0
223,54,3,176681,6,9,6,4,5,4,0,0,0,20,18,0
224,53,6,140359,11,1,0,13,4,0,1,0,0,35,18,0
225,18,3,243313,6,9,0,5,3,0,1,0,0,40,18,0
226,60,8,24215,8,6,4,14,4,1,1,0,0,10,18,0
227,66,7,167687,6,9,6,12,5,0,0,1409,0,50,18,0
228,75,3,314209,12,11,1,4,4,0,1,0,0,20,16,0
229,65,3,176796,6,9,4,4,4,0,1,0,0,40,18,0
230,35,3,538583,9,7,2,8,4,4,0,3674,0,40,18,0
231,41,3,130408,6,9,4,5,1,4,1,0,0,38,18,0
232,25,3,159732,1,10,0,4,4,0,0,0,0,42,18,0
233,33,3,110978,1,10,4,7,0,2,1,0,0,40,18,0
234,28,3,76714,4,15,0,2,4,0,0,0,0,55,18,1
235,59,4,268700,6,9,6,3,5,0,0,0,0,40,18,0
236,40,4,170525,1,10,0,4,4,0,1,0,0,38,18,0
237,41,3,180138,0,13,6,6,5,0,0,0,0,50,38,1
238,38,6,115076,14,14,6,6,5,0,0,0,0,70,18,1
239,23,3,115458,6,9,0,8,3,0,0,0,0,40,18,0
240,40,3,347890,0,13,6,2,5,0,0,0,0,40,18,1
241,41,7,196001,6,9,6,3,2,0,1,0,0,20,18,0
242,24,4,273905,10,12,6,11,5,0,0,0,0,50,18,0
243,20,8,119156,1,10,0,14,3,0,0,0,0,20,18,0
244,38,3,179488,1,10,4,7,4,0,0,0,1741,40,18,0
245,56,3,203580,6,9,6,4,5,0,0,0,0,35,23,0
246,58,3,236596,6,9,6,4,5,0,0,0,0,45,18,1
247,32,3,183916,6,9,0,3,4,0,1,0,0,34,18,0
248,40,3,207578,10,12,6,9,5,0,0,0,1977,60,18,1
249,45,3,153141,6,9,6,4,5,0,0,0,0,40,23,0
250,41,3,112763,4,15,6,2,2,0,1,0,0,40,18,1
251,42,3,390781,0,13,6,4,2,4,1,0,0,40,18,0
252,59,6,171328,8,6,1,3,1,4,1,0,0,30,18,0
253,19,6,27382,1,10,0,4,3,0,0,0,0,40,18,0
254,58,3,259014,1,10,0,8,4,0,0,0,0,20,18,0
255,42,7,303044,6,9,6,12,5,3,0,0,0,40,30,1
256,20,3,117789,6,9,0,3,3,0,1,0,0,40,18,0
257,32,3,172579,6,9,2,3,4,0,1,0,0,30,18,0
258,45,3,187666,12,11,1,6,4,0,1,0,0,45,18,0
259,50,3,204518,3,4,4,7,4,0,0,0,0,40,18,0
260,36,3,150042,0,13,4,2,3,0,1,0,0,40,18,0
261,45,3,98092,6,9,6,5,5,0,0,0,0,60,18,0
262,17,3,245918,9,7,0,3,3,0,0,0,0,12,18,0
263,59,3,146013,1,10,6,5,5,0,0,4064,0,40,18,0
264,26,3,378322,9,7,6,7,5,0,0,0,0,40,18,0
265,37,0,257295,1,10,6,6,5,3,0,0,0,75,25,1
266,19,8,218956,1,10,0,14,3,0,0,0,0,24,34,0
267,64,3,21174,6,9,6,6,5,0,0,0,0,40,18,1
268,33,3,185480,0,13,0,2,4,0,1,0,0,45,18,0
269,33,3,222205,6,9,6,7,2,0,1,0,0,40,18,1
270,61,3,69867,6,9,6,6,5,0,0,0,0,40,18,1
271,17,3,191260,5,5,0,3,3,0,0,1055,0,24,18,0
272,50,7,30653,14,14,6,12,5,0,0,2407,0,98,18,0
273,27,6,209109,14,14,0,2,3,0,0,0,0,35,18,0
274,30,3,70377,6,9,4,2,3,0,1,0,0,40,18,0
275,43,3,477983,6,9,6,1,5,4,0,0,0,40,18,0
276,44,3,170924,1,10,6,7,5,0,0,7298,0,40,18,1
277,35,3,190174,1,10,0,6,4,0,1,0,0,40,18,0
278,25,3,193787,1,10,0,9,3,0,1,0,0,40,18,0
279,24,3,279472,1,10,6,13,2,0,1,7298,0,48,18,1
280,22,3,34918,0,13,0,2,4,0,1,0,0,15,40,0
281,42,6,97688,1,10,6,7,5,0,0,5178,0,40,18,1
282,34,3,175413,10,12,4,5,1,4,1,0,0,45,18,0
283,60,3,173960,0,13,4,2,4,0,1,0,0,42,18,0
284,21,3,205759,6,9,0,1,3,0,0,0,0,40,18,0
285,57,5,425161,14,14,6,5,5,0,0,15024,0,40,18,1
286,41,3,220531,4,15,6,2,5,0,0,0,0,60,18,1
287,50,3,176609,1,10,4,3,4,0,0,0,0,45,18,0
288,25,3,371987,0,13,0,6,4,0,1,0,0,40,18,0
289,50,3,193884,3,4,6,7,5,0,0,0,0,40,39,0
290,36,3,200352,0,13,6,2,5,0,0,0,0,45,18,0
291,31,3,127595,6,9,4,2,4,0,1,0,0,40,18,0
292,29,6,220419,0,13,0,11,4,0,0,0,0,56,18,0
293,21,3,231931,1,10,0,5,3,0,0,0,0,45,18,0
294,27,3,248402,0,13,0,9,1,4,1,0,0,40,18,0
295,65,3,111095,6,9,6,8,5,0,0,0,0,16,18,0
296,37,0,57424,0,13,4,5,4,0,1,0,0,60,18,0
297,39,8,157443,14,14,6,14,2,3,1,3464,0,40,23,0
298,24,3,278130,6,9,0,7,3,0,0,0,0,40,18,0
299,38,3,169469,6,9,4,5,4,0,0,0,0,80,18,0
300,48,3,146268,0,13,6,4,5,0,0,7688,0,40,18,1
301,21,3,153718,1,10,0,3,4,3,1,0,0,25,18,0
302,31,3,217460,6,9,6,8,5,0,0,0,0,45,18,1
303,55,3,238638,6,9,6,5,5,0,0,4386,0,40,18,1
304,24,3,303296,1,10,6,4,2,3,1,0,0,40,7,0
305,43,3,173321,6,9,4,4,4,0,1,0,0,40,18,0
306,26,3,193945,10,12,0,9,4,0,0,0,0,45,18,0
307,46,3,83082,10,12,0,2,4,0,1,0,0,33,18,0
308,35,3,193815,10,12,6,4,5,0,0,0,0,40,18,1
309,41,0,34987,1,10,6,12,5,0,0,0,0,54,18,1
310,26,3,59306,0,13,0,5,4,0,0,0,0,40,18,0
311,34,3,142897,14,14,6,6,5,3,0,7298,0,35,8,1
312,19,8,860348,1,10,0,14,3,4,1,0,0,25,18,0
313,36,7,205607,0,13,4,2,4,4,1,0,0,40,18,1
314,22,3,199698,1,10,0,5,3,0,0,0,0,15,18,0
315,24,3,191954,1,10,0,13,4,0,0,0,0,40,18,0
316,77,7,138714,1,10,6,5,5,0,0,0,0,40,18,0
317,22,3,399087,13,3,6,13,0,0,1,0,0,40,37,0
318,29,3,423158,1,10,0,9,4,0,1,0,0,40,18,0
319,62,3,159841,6,9,1,3,4,0,1,0,0,24,18,0
320,39,7,174308,6,9,6,6,5,0,0,0,0,40,18,0
321,43,3,50356,1,10,6,7,5,0,0,0,1485,50,18,0
322,35,3,186110,6,9,4,8,4,0,0,0,0,45,18,0
323,29,3,200381,9,7,0,6,4,0,1,0,0,40,18,0
324,76,7,174309,14,14,6,7,5,0,0,0,0,10,18,0
325,63,7,78383,6,9,6,12,5,0,0,0,0,45,18,0
326,23,8,211601,12,11,0,14,3,4,1,0,0,15,18,0
327,43,3,187728,1,10,6,2,2,0,1,0,1887,50,18,1
328,58,7,321171,6,9,6,1,5,0,0,0,0,40,18,0
329,66,3,127921,6,9,0,8,4,0,0,2050,0,55,18,0
330,41,3,206565,1,10,0,7,4,4,0,0,0,45,18,0
331,26,3,224563,0,13,0,4,4,0,0,0,0,40,18,0
332,47,3,178686,12,11,0,3,4,0,0,0,0,40,18,0
333,55,6,98545,8,6,6,4,5,0,0,0,0,40,18,0
334,53,3,242606,6,9,6,8,5,0,0,0,0,40,18,0
335,17,3,270942,13,3,0,3,0,0,0,0,0,48,37,0
336,30,3,94235,6,9,0,7,0,0,0,0,0,40,18,0
337,49,3,71195,14,14,0,2,4,0,0,0,0,60,18,0
338,19,3,104112,6,9,0,5,1,4,0,0,0,30,10,0
339,45,3,261192,6,9,6,3,5,4,0,0,0,40,18,0
340,26,3,94936,10,12,0,5,4,0,0,0,0,40,18,0
341,38,3,296478,12,11,6,7,5,0,0,7298,0,40,18,1
342,36,4,119272,6,9,6,11,5,0,0,7298,0,40,18,1
343,33,3,85043,6,9,0,12,4,0,0,0,0,20,18,0
344,22,4,293364,1,10,0,11,3,4,1,0,0,40,18,0
345,43,7,241895,0,13,0,5,4,0,0,0,0,42,18,0
346,67,8,36135,9,7,6,14,5,0,0,0,0,8,18,0
347,30,8,151989,12,11,4,14,1,0,1,0,0,40,18,0
348,56,3,101128,10,12,5,3,4,0,0,0,0,25,38,0
349,31,3,156464,0,13,0,2,3,0,0,0,0,25,18,0
350,33,3,117963,0,13,6,6,5,0,0,0,0,40,18,1
351,26,3,192262,6,9,6,3,5,0,0,0,0,40,18,0
352,33,3,111363,0,13,6,6,5,0,0,0,0,40,18,1
353,46,6,329752,9,7,6,8,5,0,0,0,0,30,18,0
354,59,8,372020,0,13,6,14,5,0,0,0,0,40,18,1
355,38,5,95432,6,9,6,4,5,0,0,0,0,40,18,1
356,65,3,161400,9,7,1,3,1,2,0,0,0,40,18,0
357,40,3,96129,12,11,6,9,5,0,0,0,0,40,18,1
358,42,3,111949,6,9,6,4,2,0,1,0,0,35,18,0
359,26,7,117125,5,5,6,7,5,0,0,0,0,40,26,0
360,36,3,348022,8,6,6,3,2,0,1,0,0,24,18,0
361,62,3,270092,14,14,6,2,5,0,0,0,0,40,18,1
362,43,3,180609,0,13,6,8,5,0,0,0,0,45,18,0
363,43,3,174575,0,13,4,6,4,0,0,0,1564,45,18,1
364,22,3,410439,6,9,5,5,4,0,0,0,0,55,18,0
365,28,3,92262,6,9,6,7,5,0,0,0,0,40,18,0
366,56,7,183081,1,10,6,5,5,0,0,0,0,45,18,0
367,22,3,362589,10,12,0,5,4,0,1,0,0,15,18,0
368,57,3,212448,0,13,4,6,4,0,1,0,0,45,18,1
369,39,3,481060,6,9,4,5,1,0,1,0,0,40,18,0
370,26,5,185885,1,10,0,4,1,0,1,0,0,15,18,0
371,17,3,89821,9,7,0,3,3,0,0,0,0,10,18,0
372,40,4,184018,12,11,6,13,5,0,0,0,0,38,18,1
373,45,3,256649,6,9,6,13,5,4,0,0,0,40,18,0
374,44,3,160323,6,9,0,7,4,4,0,0,0,40,18,0
375,20,6,350845,1,10,0,4,3,0,1,0,0,10,18,0
376,33,3,267404,6,9,6,7,2,0,1,0,0,40,18,0
377,23,3,35633,1,10,0,5,4,0,0,0,0,40,18,0
378,46,7,80914,14,14,4,6,4,0,0,0,0,30,18,0
379,38,3,172927,6,9,6,5,5,0,0,0,0,50,18,0
380,54,3,174319,6,9,4,8,4,0,0,0,0,40,18,0
381,46,3,214955,13,3,4,7,4,0,1,0,2339,45,18,0
382,25,3,344991,1,10,6,7,5,0,0,0,0,40,18,0
383,46,3,108699,1,10,4,5,4,0,1,0,0,40,18,0
384,36,6,117312,1,10,6,8,2,0,1,0,0,40,18,0
385,23,3,396099,6,9,0,3,4,0,1,0,0,25,18,0
386,29,3,134152,6,9,2,13,4,0,0,0,0,40,18,0
387,44,3,162028,1,10,6,4,2,0,1,0,2415,6,18,1
388,19,3,25429,1,10,0,4,3,0,1,0,0,16,18,0
389,19,3,232392,6,9,0,3,0,0,1,0,0,40,18,0
390,35,3,220098,6,9,6,3,2,0,1,0,0,40,18,1
391,27,3,301302,0,13,0,7,4,0,0,0,0,50,18,0
392,46,7,277946,10,12,2,7,4,0,0,0,0,40,18,0
393,34,4,98101,0,13,6,6,5,0,0,7688,0,45,23,1
394,34,3,196164,6,9,0,3,4,0,1,0,0,35,18,0
395,44,3,115562,1,10,6,9,5,0,0,0,0,40,18,0
396,45,3,96975,1,10,4,1,1,0,1,0,0,40,18,0
397,20,8,137300,6,9,0,14,0,0,1,0,0,35,18,0
398,25,3,86872,0,13,6,6,5,0,0,0,0,55,18,1
399,52,0,132178,0,13,6,6,5,0,0,0,0,50,18,1
400,20,3,416103,1,10,0,1,3,0,0,0,0,40,18,0
401,28,3,108574,1,10,0,3,4,0,1,0,0,40,18,0
402,50,4,288353,0,13,6,11,5,0,0,0,0,40,18,1
403,34,3,227689,12,11,4,9,4,0,1,0,0,64,18,0
404,28,3,166481,3,4,6,1,5,2,0,0,2179,40,1,0
405,41,3,445382,14,14,6,6,5,0,0,0,1977,65,18,1
406,28,3,110145,6,9,6,4,5,0,0,0,0,40,18,0
407,46,7,317253,6,9,6,7,5,0,0,0,0,25,18,0
408,28,8,123147,1,10,6,14,2,0,1,0,1887,40,18,1
409,32,3,364657,1,10,6,6,5,0,0,0,0,50,18,0
410,41,6,42346,1,10,4,3,4,4,1,0,0,24,18,0
411,24,3,241951,6,9,0,1,1,4,1,0,0,40,18,0
412,33,3,118500,1,10,4,6,1,0,1,0,0,40,18,0
413,46,3,188386,7,16,6,6,5,0,0,15024,0,60,18,1
414,31,4,1033222,1,10,6,13,5,0,0,0,0,40,18,0
415,35,3,92440,2,8,4,7,4,0,0,0,0,50,18,1
416,52,3,190762,15,2,6,13,5,0,0,0,0,40,37,0
417,30,3,426017,9,7,0,3,3,0,1,0,0,19,18,0
